criteria_prescribing_txt_id,parameter_prescribing_txt_id,pt_position,schedule_code
"14023","14022","1","3834"
"14026","14025","1","3834"
"14029","14028","1","3834"
"14033","14031","1","3834"
"14033","14032","2","3834"
"14045","14044","1","3834"
"14047","14046","1","3834"
"14079","14075","1","3834"
"14079","14076","2","3834"
"14079","14077","3","3834"
"14079","14078","4","3834"
"14093","14089","1","3834"
"14093","14090","2","3834"
"14093","14091","3","3834"
"14093","14092","4","3834"
"14105","14104","1","3834"
"14116","14115","1","3834"
"14138","14136","1","3834"
"14138","14137","2","3834"
"14145","14144","1","3834"
"14175","14174","1","3834"
"14181","14163","1","3834"
"14181","14157","2","3834"
"14186","14185","1","3834"
"14189","14188","1","3834"
"14203","9505","1","3834"
"14210","14209","1","3834"
"14212","14211","1","3834"
"14259","14258","1","3834"
"14262","14260","1","3834"
"14262","14261","2","3834"
"14265","14263","1","3834"
"14265","14264","2","3834"
"14285","14284","1","3834"
"14290","7909","1","3834"
"14290","7646","2","3834"
"14314","14313","1","3834"
"14321","14320","1","3834"
"14321","13969","2","3834"
"14324","14320","1","3834"
"14324","13973","2","3834"
"14333","14325","1","3834"
"14333","14332","2","3834"
"14351","14349","1","3834"
"14351","14350","2","3834"
"14353","11586","1","3834"
"14353","11587","2","3834"
"14353","14352","3","3834"
"14357","14356","1","3834"
"14361","14360","1","3834"
"14364","14363","1","3834"
"14366","14365","1","3834"
"14374","14373","1","3834"
"14383","14382","1","3834"
"14393","14392","1","3834"
"14413","14411","1","3834"
"14413","14412","2","3834"
"14416","14415","1","3834"
"14420","14419","1","3834"
"14424","14423","1","3834"
"14426","14425","1","3834"
"14433","14432","1","3834"
"14439","14438","1","3834"
"14461","14459","1","3834"
"14461","14460","2","3834"
"14472","14471","1","3834"
"14475","14474","1","3834"
"14480","14479","1","3834"
"14494","14493","1","3834"
"14509","14508","1","3834"
"14516","14515","1","3834"
"14521","14520","1","3834"
"14525","14523","1","3834"
"14525","14524","2","3834"
"14529","14528","1","3834"
"14533","14532","1","3834"
"14535","14534","1","3834"
"14565","14564","1","3834"
"14569","14568","1","3834"
"14571","14570","1","3834"
"14578","14577","1","3834"
"14591","14590","1","3834"
"14596","14595","1","3834"
"14599","14598","1","3834"
"14603","14602","1","3834"
"14606","14605","1","3834"
"14611","14609","1","3834"
"14611","14610","2","3834"
"14627","14624","1","3834"
"14627","14625","2","3834"
"14627","14626","3","3834"
"14630","14629","1","3834"
"14634","14633","1","3834"
"14636","14635","1","3834"
"14638","14637","1","3834"
"14644","14643","1","3834"
"14648","14647","1","3834"
"14650","14649","1","3834"
"14654","14653","1","3834"
"14665","14664","1","3834"
"14667","14666","1","3834"
"14669","14668","1","3834"
"14671","14670","1","3834"
"14673","14672","1","3834"
"14681","12814","1","3834"
"14681","14680","2","3834"
"14684","14683","1","3834"
"14686","14685","1","3834"
"14690","14689","1","3834"
"14693","14692","1","3834"
"14716","14715","1","3834"
"14721","14720","1","3834"
"14731","14730","1","3834"
"14753","14752","1","3834"
"14755","14754","1","3834"
"14759","14758","1","3834"
"14783","14782","1","3834"
"14798","14797","1","3834"
"14809","14808","1","3834"
"14816","14815","1","3834"
"14825","8056","1","3834"
"14827","14826","1","3834"
"14831","14830","1","3834"
"14832","10111","1","3834"
"14832","7714","2","3834"
"14847","14846","1","3834"
"14871","14870","1","3834"
"14874","14873","1","3834"
"14881","14880","1","3834"
"14886","14885","1","3834"
"14896","14500","1","3834"
"14896","14503","2","3834"
"14900","14899","1","3834"
"14910","14909","1","3834"
"14912","14911","1","3834"
"14914","14913","1","3834"
"14918","14917","1","3834"
