pbs_code,prescribing_txt_id,pt_position,schedule_code
"10915L","19191","1","3834"
"10915L","28500","2","3834"
"10915L","28482","3","3834"
"10916M","19258","1","3834"
"10916M","28500","2","3834"
"10916M","28482","3","3834"
"10917N","19273","1","3834"
"10917N","19258","2","3834"
"10917N","28496","3","3834"
"10917N","7607","4","3834"
"10918P","19191","1","3834"
"10918P","7607","2","3834"
"10919Q","23761","1","3834"
"10920R","19191","1","3834"
"10920R","7607","2","3834"
"10921T","19258","1","3834"
"10921T","7607","2","3834"
"10922W","23761","1","3834"
"10924Y","19273","1","3834"
"10924Y","19191","2","3834"
"10924Y","28496","3","3834"
"10924Y","7607","4","3834"
"10925B","19258","1","3834"
"10925B","7607","2","3834"
"10927D","17936","1","3834"
"10927D","7608","2","3834"
"10930G","7607","1","3834"
"10933K","19258","1","3834"
"10933K","7607","2","3834"
"10935M","19258","1","3834"
"10935M","7607","2","3834"
"10939R","19258","1","3834"
"10939R","7607","2","3834"
"10940T","19191","1","3834"
"10940T","7607","2","3834"
"10941W","19191","1","3834"
"10941W","7607","2","3834"
"10942X","19191","1","3834"
"10942X","7607","2","3834"
"10943Y","29786","1","3834"
"10943Y","28500","2","3834"
"10943Y","26357","3","3834"
"10943Y","7607","4","3834"
"10943Y","7608","5","3834"
"10944B","29247","1","3834"
"10944B","27391","2","3834"
"10944B","33164","3","3834"
"10944B","29791","4","3834"
"10944B","27049","5","3834"
"10944B","34034","6","3834"
"10944B","7607","7","3834"
"10948F","8211","1","3834"
"10948F","25651","2","3834"
"10948F","27199","3","3834"
"10949G","8211","1","3834"
"10949G","25651","2","3834"
"10949G","27199","3","3834"
"10951J","31231","1","3834"
"10951J","7606","2","3834"
"10951J","7607","3","3834"
"10952K","7607","1","3834"
"10952K","7608","2","3834"
"10953L","8211","1","3834"
"10953L","25651","2","3834"
"10953L","27199","3","3834"
"10954M","31231","1","3834"
"10954M","7606","2","3834"
"10954M","7607","3","3834"
"10955N","29247","1","3834"
"10955N","27391","2","3834"
"10955N","33164","3","3834"
"10955N","29791","4","3834"
"10955N","27048","5","3834"
"10955N","34034","6","3834"
"10955N","7607","7","3834"
"10956P","33867","1","3834"
"10956P","33773","2","3834"
"10956P","14169","3","3834"
"10956P","13975","4","3834"
"10956P","27030","5","3834"
"10956P","33164","6","3834"
"10956P","29791","7","3834"
"10956P","28584","8","3834"
"10956P","7607","9","3834"
"10957Q","8211","1","3834"
"10957Q","25651","2","3834"
"10957Q","27199","3","3834"
"10958R","7607","1","3834"
"10958R","7608","2","3834"
"10959T","8211","1","3834"
"10959T","25651","2","3834"
"10959T","27199","3","3834"
"1095P","16741","1","3834"
"10960W","29247","1","3834"
"10960W","27391","2","3834"
"10960W","27049","3","3834"
"10960W","28500","4","3834"
"10960W","7607","5","3834"
"10961X","29247","1","3834"
"10961X","27391","2","3834"
"10961X","27048","3","3834"
"10961X","28500","4","3834"
"10961X","7607","5","3834"
"10964C","8211","1","3834"
"10964C","25651","2","3834"
"10964C","27199","3","3834"
"10965D","7607","1","3834"
"10965D","7608","2","3834"
"10967F","33867","1","3834"
"10967F","33773","2","3834"
"10967F","14169","3","3834"
"10967F","13975","4","3834"
"10967F","27030","5","3834"
"10967F","33164","6","3834"
"10967F","29791","7","3834"
"10967F","28584","8","3834"
"10967F","7607","9","3834"
"10968G","33867","1","3834"
"10968G","33773","2","3834"
"10968G","14169","3","3834"
"10968G","13975","4","3834"
"10968G","27030","5","3834"
"10968G","28584","6","3834"
"10968G","7607","7","3834"
"10970J","8211","1","3834"
"10970J","25651","2","3834"
"10970J","27199","3","3834"
"10973M","33867","1","3834"
"10973M","33773","2","3834"
"10973M","14169","3","3834"
"10973M","13975","4","3834"
"10973M","27030","5","3834"
"10973M","28584","6","3834"
"10973M","7607","7","3834"
"10974N","19700","1","3834"
"10974N","7608","2","3834"
"10976Q","19700","1","3834"
"10976Q","7608","2","3834"
"10981Y","15277","1","3834"
"10981Y","9086","2","3834"
"10982B","15277","1","3834"
"10982B","9086","2","3834"
"10982B","22551","3","3834"
"10982B","7608","4","3834"
"10984D","19700","1","3834"
"10984D","7608","2","3834"
"10985E","19700","1","3834"
"10985E","7608","2","3834"
"10988H","15277","1","3834"
"10988H","9086","2","3834"
"10988H","22551","3","3834"
"10988H","7608","4","3834"
"10989J","19700","1","3834"
"10989J","7608","2","3834"
"10990K","19700","1","3834"
"10990K","7608","2","3834"
"10998W","15277","1","3834"
"10998W","9086","2","3834"
"10999X","15277","1","3834"
"10999X","9086","2","3834"
"11000Y","7608","1","3834"
"11001B","19700","1","3834"
"11001B","7608","2","3834"
"11002C","19700","1","3834"
"11002C","7608","2","3834"
"11006G","15277","1","3834"
"11006G","9086","2","3834"
"11009K","19700","1","3834"
"11009K","7608","2","3834"
"11012N","19700","1","3834"
"11012N","7608","2","3834"
"11028K","11011","1","3834"
"11028K","7608","2","3834"
"11029L","19967","1","3834"
"11029L","33337","2","3834"
"11031N","11011","1","3834"
"11031N","7608","2","3834"
"11032P","31110","1","3834"
"11032P","7606","2","3834"
"11032P","7607","3","3834"
"11032P","7608","4","3834"
"11033Q","31110","1","3834"
"11033Q","7606","2","3834"
"11033Q","7607","3","3834"
"11033Q","7608","4","3834"
"11036W","19967","1","3834"
"11036W","33337","2","3834"
"11037X","33828","1","3834"
"11038Y","11011","1","3834"
"11038Y","7608","2","3834"
"11040C","11011","1","3834"
"11040C","7608","2","3834"
"11041D","19967","1","3834"
"11041D","33337","2","3834"
"11042E","19967","1","3834"
"11042E","33337","2","3834"
"11045H","11011","1","3834"
"11045H","7608","2","3834"
